Weight,Color,Texture,Odor,Type
0.81,1,0,0,Organic
1.91,1,1,1,Organic
1.49,1,1,0,Metal
1.24,0,0,1,Organic
0.4,1,1,0,Plastic
0.4,0,0,0,Organic
0.21,1,0,0,Organic
1.75,0,1,1,Organic
1.24,0,0,0,Organic
1.45,0,1,1,Organic
0.14,0,1,1,Organic
1.94,0,1,0,Organic
1.68,0,1,0,Organic
0.5,1,1,0,Plastic
0.45,0,1,1,Organic
0.45,1,0,0,Organic
0.68,1,0,1,Organic
1.1,1,0,1,Organic
0.92,1,0,0,Organic
0.65,1,1,1,Organic
1.26,1,1,0,Metal
0.37,1,1,1,Organic
0.66,0,1,1,Organic
0.8,1,0,0,Organic
0.97,0,0,0,Organic
1.59,1,1,1,Organic
0.48,0,1,1,Organic
1.08,0,1,0,Organic
1.23,0,1,1,Organic
0.19,0,1,1,Organic
1.25,1,0,0,Organic
0.42,0,1,1,Organic
0.22,0,0,0,Organic
1.9,0,1,0,Organic
1.93,0,1,0,Organic
1.64,1,0,1,Organic
0.68,0,0,0,Organic
0.29,1,1,1,Organic
1.4,0,0,1,Organic
0.94,1,1,1,Organic
0.33,0,1,1,Organic
1.04,1,0,1,Organic
0.17,1,0,0,Organic
1.83,0,1,1,Organic
0.59,0,1,1,Organic
1.36,0,0,0,Organic
0.69,1,1,1,Organic
1.09,1,1,0,Plastic
1.14,0,0,0,Organic
0.45,0,0,0,Organic
1.94,0,1,1,Organic
1.57,1,0,0,Organic
1.89,0,0,0,Organic
1.8,1,1,0,Plastic
1.24,0,0,1,Organic
1.85,1,0,0,Organic
0.27,1,1,0,Plastic
0.47,0,1,1,Organic
0.19,0,0,0,Organic
0.72,1,0,0,Organic
0.84,1,1,0,Metal
0.62,1,0,1,Organic
1.67,0,0,0,Organic
0.78,1,0,1,Organic
0.63,1,0,0,Organic
1.13,0,1,1,Organic
0.37,0,1,1,Organic
1.62,0,0,1,Organic
0.24,0,1,0,Organic
1.98,0,0,0,Organic
1.57,0,1,1,Organic
0.48,0,1,1,Organic
0.11,0,1,1,Organic
1.65,1,0,0,Organic
1.44,0,0,1,Organic
1.49,1,1,1,Organic
1.57,1,1,0,Plastic
0.24,1,1,1,Organic
0.78,1,0,1,Organic
0.32,0,1,1,Organic
1.74,0,0,0,Organic
1.28,0,0,0,Organic
0.73,0,1,0,Organic
0.22,1,0,1,Organic
0.69,1,1,0,Metal
0.72,0,0,1,Organic
1.49,0,1,0,Organic
1.31,1,1,0,Metal
1.79,0,0,0,Organic
1,1,1,1,Organic
0.33,1,0,0,Organic
1.46,1,0,0,Organic
1.55,1,0,1,Organic
1.17,0,1,0,Organic
1.56,0,0,0,Organic
1.04,1,0,0,Organic
1.09,0,1,0,Organic
0.91,0,0,1,Organic
0.15,1,0,0,Organic
0.3,1,1,0,Metal
0.16,0,0,1,Organic
1.31,0,1,1,Organic
0.7,0,1,1,Organic
1.07,1,1,1,Organic
1.82,0,0,0,Organic
0.57,1,1,1,Organic
0.88,1,0,1,Organic
1.54,0,0,1,Organic
0.53,1,0,1,Organic
0.25,1,1,1,Organic
0.65,1,0,1,Organic
0.41,1,0,1,Organic
1.87,0,1,0,Organic
1.64,1,0,1,Organic
1.3,1,0,0,Organic
1.76,1,0,1,Organic
1.63,1,1,1,Organic
0.45,0,1,1,Organic
1.8,1,1,1,Organic
1.12,0,1,1,Organic
1.63,1,0,1,Organic
1.8,1,0,1,Organic
0.7,0,0,0,Organic
0.31,0,0,1,Organic
0.53,1,0,0,Organic
0.91,0,1,0,Organic
1.65,1,0,0,Organic
1.74,0,1,1,Organic
0.11,0,1,0,Organic
1.07,0,0,1,Organic
0.89,0,1,1,Organic
0.52,1,1,1,Organic
0.33,0,0,0,Organic
0.74,1,1,1,Organic
1.89,1,1,0,Metal
0.71,1,1,1,Organic
1.09,1,1,0,Metal
1.44,0,1,0,Organic
0.79,0,0,0,Organic
1.95,0,1,1,Organic
1.93,1,0,0,Organic
0.58,1,1,0,Metal
1.04,0,1,1,Organic
0.67,1,0,1,Organic
0.64,0,0,0,Organic
0.17,0,0,1,Organic
1.26,0,0,0,Organic
1.06,0,1,1,Organic
0.2,0,1,0,Organic
0.63,1,0,1,Organic
1.83,0,1,1,Organic
0.56,1,1,1,Organic
0.38,1,1,0,Plastic
1.03,1,0,1,Organic
1.97,0,1,0,Organic
0.56,1,1,0,Plastic
1.38,1,1,1,Organic
1.55,1,0,1,Organic
0.55,0,1,1,Organic
1.48,0,1,1,Organic
0.8,0,0,1,Organic
1.3,0,0,0,Organic
1.3,1,0,0,Organic
1.12,1,0,1,Organic
0.27,0,1,0,Organic
1.69,1,1,0,Plastic
